year;ies_sigle;fact_student_aggregated_matriculation_total
2020;SINGULARIDADES;500
2020;LEGALE;233
2020;HOTEC;427
2020;FDDJ;1170
2020;UNIFIAM FAAM;6547
2020;VERA CRUZ;58
2020;FACULDADE UNIÃO;8
2020;FAPCOM;1093
2020;FAZP;371
2020;FAETEL;201
2020;FTBSP;117
2020;FTMP;21
2020;MUNDIAL;436
2020;FAMESP;927
2020;SENAC;4657
2020;ESEG;329
2020;ESAMC;225
2020;FAATESP;7
2020;MESSIÂNICA;27
2020;ESCH;193
2020;EDUCAMAIS;595
2020;FATIPI;31
2020;FIP;39
2020;FIT;2548
2020;BANDTEC;542
2020;ITESP;112
2020;ESNS;117
2020;IED SP;230
2020;FMSL;82
2020;SAINT PAUL;74
2020;FINACI;335
2020;IMESP;77
2020;SEQÜENCIAL;637
2020;DIEESE;41
2020;DOURADO;77
2020;FIPECAFI;140
2020;CULTURA INGLESA;127
2020;MELIES;347
2020;CSEJCDA;371
2020;FECS;207
2020;FAEP/FACITEP;818
2020;SESI;283
2020;FEDUC;120
2020;EBRAMEC;30
2020;FTC;47
2020;FATAC;62
2020;FAOA;45
2020;FPCS;60
2020;ANCLIVEPA;297
2020;FVG;42
2020;IBECO;11
2020;FRS;64
2020;IGESP;133
2020;SEBRAE;44
2020;PHORTE;17
2021;MACKENZIE;22334
2021;IBTA;122
2021;CENTRO UNIVERSITÁRIO FAM;12388
2021;FGV;3731
2021;UNIFAI;606
2021;FEBASP;3575
2021;MORUMBI SUL;209
2021;TREVISAN;229
2021;UNASP;2079
2021;SUMARÉ;27
2021;CÁSPER LÍBERO;1821
2021;USJT;28601
2021;ÍTALO;2891
2021;FECAP;2741
2021;CRUZEIRO DO SUL;31053
2021;OSWALDO CRUZ;2148
2021;CAMPOS SALLES;2836
2021;UNINOVE;103063
2021;UNICASTELO;1445
2021;UNIP;66572
2021;FIA;142
2021;SENAI;552
2021;FLAMINGO;1281
2021;UNIPAULISTANA;667
2021;FAPSS;66
2021;FAMOSP;820
2021;DRUMMOND;2504
2021;FATEC OSWALDO CRUZ;146
2021;FAESP;204
2021;FADISP;156
2021;FAB;120
2021;FPA;188
2021;UNIESP;451
2021;FABCI;56
2021;FESPSP;198
2021;FMU;36394
2021;ESCOLA DA CIDADE;279
2021;UNISA;9706
2021;FEI;156
2021;SÃO BENTO;69
